Course Title,Course Description
"11.157[J] China's Growth: Political Economy, Business, and Urbanization","Units: 3-0-3  Examines different aspects of the growth of China, which has the second largest economy in the world. Studies the main drivers of Chinese economic growth and the forces behind the largest urbanization in human history. Discusses how to understand China's booming real estate market, and how Chinese firms operate to attain their success, whether through hard-working entrepreneurship or political connections with the government. Explores whether the top-down urban and industrial policy interventions improve efficiency or cause misallocation problems, and whether the Chinese political system in an enabler of Chinese growth or a potential impediment to the country's future growth prospects. Students taking graduate version complete additional assignments. Y. Huang, S. Zheng, Z. Tan"
"11.158 Behavioral Science, AI, and Urban Mobility","Integrates behavioral science, artificial intelligence, and transportation technology to shape travel behavior, design mobility systems and business, and reform transportation policies. Introduces methods to sense travel behavior with new technology and measurements; nudge behavior through perception and preference shaping; design mobility systems and ventures that integrate autonomous vehicles, shared mobility, and public transit; and regulate travel with behavior-sensitive transport policies. Challenges students to pilot behavioral experiments and design creative mobility systems, business and policies. Students taking graduate version complete additional assignments. J. Zhao"
11.159 Entrepreneurial Negotiation,"Combines online weekly face-to-face negotiation exercises and in-person lectures designed to empower budding entrepreneurs with negotiation techniques to protect and increase the value of their ideas, deal with ego and build trust in relationships, and navigate entrepreneurial bargaining under constraints of economic uncertainty and complex technical considerations. Students must complete scheduled weekly assignments, including feedback memos to counterpart negotiators, and meet on campus with the instructor to discuss and reflect on their experiences with the course. Students taking graduate version complete additional assignments. Samuel Dinnar"
11.162 Politics of Energy and the Environment,"Focuses on the politics of making local, state, national and international decisions on energy and the environment.  Topics include implementing energy efficiency measures, siting nuclear and alternative energy plants, promoting oil and gas development offshore and in wilderness, adapting to climate change, handling toxic waste, protecting endangered species, and conserving water.  Case studies include Cape Wind, disputes over oil and gas exploration in the Arctic, the response to Hurricane Katrina, and efforts to craft and comply with the greenhouse gas emissions limits. Staff"
11.164[J] Human Rights at Home and Abroad,"Units: 2-0-10  Provides a rigorous and critical introduction to the history, foundation, structure, and operation of the human rights movement. Focuses on key ideas, actors, methods and sources, and critically evaluates the field. Addresses current debates in human rights, including the relationship with security, democracy, development and globalization, urbanization, equality (in housing and other economic and social rights; women's rights; ethnic, religious and racial discrimination; and policing/conflict), post-conflict rebuilding and transitional justice, and technology in human rights activism. No prior coursework needed, but work experience, or community service that demonstrates familiarity with global affairs or engagement with ethics and social justice issues, preferred. Students taking graduate version are expected to write a research paper. B. Rajagopal"
11.165 Urban Energy Systems and Policy,"Examines efforts in developing and advanced nations and regions. Examines key issues in the current and future development of urban energy systems, such as technology, use, behavior, regulation, climate change, and lack of access or energy poverty. Case studies on a diverse sampling of cities explore how prospective technologies and policies can be implemented. Includes intensive group research projects, discussion, and debate. Students taking the graduate version complete additional assignments. Y. Hsu"
"11.166 Law, Social Movements, and Public Policy: Comparative and International Experience","Units: 3-0-9  Studies the interaction between law, courts, and social movements in shaping domestic and global public policy. Examines how groups mobilize to use law to affect change and why they succeed and fail. Case studies explore the interplay between law, social movements, and public policy in current issues, such as gender, race, labor, trade, climate change/environment, and LGBTQ rights. Introduces theories of public policy, social movements, law and society, and transnational studies. Students taking graduate version complete additional assignments. Limited to 15. B. Rajagopal"
"11.167[J] Global Energy: Politics, Markets, and Policy","Units: 3-0-9 Credit cannot also be received for 11.267 , 15.219   Focuses on the ways economics and politics influence the fate of energy technologies, business models, and policies around the world. Extends fundamental concepts in the social sciences to case studies and simulations that illustrate how corporate, government, and individual decisions shape energy and environmental outcomes. In a final project, students apply the concepts in order to assess the prospects for an energy innovation to scale and advance sustainability goals in a particular regional market. Recommended prerequisite: 14.01. Meets with 15.219 when offered concurrently. Expectations and evaluation criteria differ for students taking graduate version; consult syllabus or instructor for specific details. Preference to juniors, seniors, and Energy Minors. Staff"
11.169 Global Climate Policy and Sustainability,"Examines climate politics both nationally and globally. Addresses economic growth, environmental preservation, and social equity through the lens of sustainability. Uses various country and regional cases to analyze how sociopolitical, economic and environmental values shape climate policy. Students develop recommendations for making climate policy more effective and sustainable. Students taking the graduate version complete additional assignments. Limited to 25. J. Knox-Hayes"
11.170 Cities and Climate Change: Mitigation and Adaptation,"Examines climate adaptation and mitigation responses at the city level. Discusses factors of greatest concern in adapting cities to climate change, including infrastructure; energy, food, and water systems; health; housing; and environmental justice. Various city and regional cases are used to analyze how cities are mobilizing to face climate change and integrate core considerations into urban planning. Working on independent case studies, students analyze how cities make urban planning decisions with respect to climate adaptation. In the process, students practice analytical skills to better understand how urban policies are made, and how they can be improved. Students develop recommendations for making climate adaptation more effective and sustainable at the city level. Assignment requirements differ for students completing the graduate version. Limited to 25. Staff"
11.171 Indigenous Environmental Planning,"Lecture:  W2-5 ( 9-255 ) s   Examines how Indigenous peoples' relationships to their homelands and local environments has been adversely affected by Western planning. Explores how these relationships have changed over time as American Indians, Alaska Natives, and other groups indigenous to North America and Hawai'i have adapted to new conditions, including exclusion from markets of exchange, overhunting/overfishing, dispossession, petrochemical development, conservation, mainstream environmentalism, and climate change. Seeks to understand current environmental challenges and their roots and discover potential solutions to address these challenges. Students taking graduate version complete additional assignments. Lawrence Susskind, Janelle Knox-Hayes, Jean-Luc Pierite No textbook information available"
11.173[J] Infrastructure Design for Climate Change,"Units: 0-2-4  In this team-oriented, project-based subject, students work to find technical solutions that could be implemented to mitigate the effects of natural hazards related to climate change, bearing in mind that any proposed measures must be appropriate in a given region's socio-political-economic context. Students are introduced to a variety of natural hazards and possible mitigation approaches as well as principles of design, including adaptable design and design for failure. Students select the problems they want to solve and develop their projects. During the term, officials and practicing engineers of Cambridge, Boston, Puerto Rico, and MIT Facilities describe their approaches. Student projects are documented in a written report and oral presentation. Students taking graduate version complete additional assignments. Enrollment limited; preference to juniors and seniors. H. Einstein"
11.188 Introduction to Spatial Analysis and GIS Laboratory,"Lecture:  MW2.30-4 ( 9-354 ) Lab:  F1-4 ( 9-554 ) s   An introduction to Geographic Information Systems (GIS), a tool for visualizing and analyzing spatial data. Explores how GIS can make maps, guide decisions, answer questions, and advocate for change. Class builds toward a project in which students critically apply GIS techniques to an area of interest. Students build data discovery, cartography, and spatial analysis skills while learning to reflect on their positionality within the research design process. Because maps and data are never neutral, the class incorporates discussions of power, ethics, and data throughout as part of a reflective practice. Instruction and practice in oral and written communication provided. Fall: E. Huntley, C. Cong Spring: C. D'Ignazio, E. Huntley No textbook information available"
11.UAR[J] Climate and Sustainability Undergraduate Advanced Research,"Lecture:  TR4 ( 32-144 ) s   Provides instruction in effective research, experiential projects, internships, and externships, including choosing and refining problems, surveying previous work and publications, industry best practices, design for robustness, technical presentation, authorship and collaboration, and ethics. Supporting content includes background and context pertaining to climate change and sustainability, as well as tools for sustainable design. Focus for project work includes research topics relevant to the MIT Climate & Sustainability Consortium (MCSC). Students engage in extensive written and oral communication exercises, in the context of an approved advanced research project. A total of 12 units of credit is awarded for completion of the spring and subsequent fall term offerings. Application required; consult MCSC website for more information. Fall: E. Olivetti, J. Grossman Spring: E. Olivetti, J. Grossman No required or recommended textbooks"
11.UR Undergraduate Research,"Undergraduate research opportunities in Urban Studies and Planning. For further information, consult the Departmental Coordinators. Fall: S. Elliott IAP: S. Elliott Spring: S. Elliott Summer: S. Elliott No required or recommended textbooks"
11.URG Undergraduate Research,"Undergraduate research opportunities in Urban Studies and Planning. For further information, consult the Departmental Coordinators. Fall: S. Elliott IAP: S. Elliott Spring: S. Elliott Summer: S. Elliott No required or recommended textbooks end   end   end   end   end   end   end   end   end   end   end   end   end"
11.THT[J] Thesis Research Design Seminar,"Designed for students writing a thesis in Urban Studies and Planning or Architecture. Develop research topics, review relevant research and scholarship, frame research questions and arguments, choose an appropriate methodology for analysis, and draft introductory and methodology sections. C. Abbanat"
11.THU Undergraduate Thesis,Program of research leading to the writing of an SB thesis. To be arranged by the student under approved supervision. Fall: S. Elliott IAP: S. Elliott Spring: S. Elliott Summer: S. Elliott No required or recommended textbooks
11.189-11.190 Urban Fieldwork,"11.190: TBA. s   Practical application of city and regional planning techniques to towns, cities, and regions, including problems of replanning, redevelopment, and renewal of existing communities. Includes internships, under staff supervision, in municipal and state agencies and departments. Fall: S. Elliott Spring: S. Elliott 11.189: No textbook information available 11.190: No textbook information available"
11.191-11.192 Independent Study,11.192: TBA. s   For undergraduates wishing to pursue further study in specialized areas of urban studies or city and regional planning not covered in regular subjects. Fall: S. Elliott IAP: S. Elliott Spring: S. Elliott 11.191: No textbook information available 11.192: No required or recommended textbooks
11.193-11.194 Supervised Readings,11.194: TBA. s   Reading and discussion of topics in urban studies and planning. Fall: S. Elliott Spring: S. Elliott 11.193: No textbook information available 11.194: No textbook information available
"11.S03 Special Subject: Transportation Shaping Sustainable Urbanization: Connections with Behavior, Urban Economics and Planning","Explores changes in the built environment expected from transportation investments, and how they can be used to promote sustainable and equitable cities. Reflects on how notable characteristics of cities can be explained by their historical and current transportation features. Introduces theoretical basis and empirical evidence to analyze the urban transformation autonomous vehicles will bring and how shared mobility services affect travel behavior, and its implications from an urban planning perspective. Lectures interspersed with guest speakers and an optional field trip. Subject can count toward the 6-unit discovery-focused credit limit for first-year students. Licensed for Fall 2023 by the Committee on Curricula. Limited to 18. F. Duarte De Araujo Silva"
11.S04 Special Subject: Topics in Affordable Housing,"Weekly seminar-style discussions on topics in affordable housing, including federal funding programs, homelessness prevention and shelters, local land use and zoning for affordability, innovative housing models/designs, fair housing laws, the history of public housing in the US, and international comparisons. Subject can count toward the 6-unit discovery-focused credit limit for first year students. Staff"
11.S187 Special Subject: Urban Studies and Planning,For undergraduates wishing to pursue further study or fieldwork in specialized areas of urban studies or city and regional planning not covered in regular subjects of instruction. Cong Cong
11.S188 Special Subject: Urban Studies and Planning,"For undergraduates wishing to pursue further study or fieldwork in specialized areas of urban studies or city and regional planning not covered in regular subjects of instruction. Fall: J. Knox IAP: J. Ferreira, C. Cong No textbook information available"
11.S189 Special Subject: Urban Studies and Planning,"For undergraduates wishing to pursue further study or fieldwork in specialized areas of urban studies or city and regional planning not covered in regular subjects of instruction. Fall: J. Ferreira, Jr, P. Ferraz de Abreu Spring: B. Rajagopal, S. Aiyar No textbook information available"
11.S195 Special Subject: Urban Studies and Planning,11.S196: TBA. s  11.S197: TBA. s   For undergraduates wishing to pursue further study or fieldwork in specialized areas of urban studies or city and regional planning not covered in regular subjects of instruction. B. Rajagopal 11.S195: No textbook information available 11.S196: No textbook information available 11.S197: No textbook information available
11.S196-11.S199 Special Subject: Urban Studies and Planning,11.S196: TBA. s  11.S197: TBA. s   For undergraduates wishing to pursue further study or fieldwork in specialized areas of urban studies or city and regional planning not covered in regular subjects of instruction. 11.S198 is graded P/D/F. Staff 11.S195: No textbook information available 11.S196: No textbook information available 11.S197: No textbook information available
"12.00 Frontiers and Careers in Earth, Planets, Climate, and Life","Provides a broad overview of topics, technologies, and career paths at the forefront of Earth, Atmospheric and Planetary Sciences. Introduces the complex interplay between physics, mathematics, chemistry, biology, and computational methods used to study processes associated with a changing Earth and climate, distant planets, and life. Sessions guided by faculty members discussing current research problems, and by EAPS alumni describing how their careers have evolved. Subject can count toward the 6-unit discovery-focused credit limit for first year students. T. Herring No required or recommended textbooks"
12.000 Solving Complex Problems,"Provides an opportunity for entering freshmen to gain firsthand experience in integrating the work of small teams to develop effective solutions to complex problems in Earth system science and engineering. Each year's class explores a different problem in detail through the study of complementary case histories and the development of creative solution strategies. Includes exercises in website development, written and oral communication, and team building. Subject required for students in the Terrascope freshman program, but participation in Terrascope is not required of all 12.000 students. Students who pass 12.000 are eligible to participate in the Terrascope field trip the following spring. Limited to freshmen. D. McGee, A. Epstein, M. Contos"
12.001 Introduction to Geology,"Major minerals and rock types, rock-forming processes, and time scales. Temperatures, pressures, compositions, structure of the Earth, and measurement techniques. Geologic structures and relationships observable in the field. Sediment movement and landform development by moving water, wind, and ice. Crustal processes and planetary evolution in terms of global plate tectonics with an emphasis on ductile and brittle processes. Includes laboratory exercises on minerals, rocks, mapping, plate tectonics, rheology, glaciers. Two one-day field trips (optional). T. Bosak, O. Jagoutz"
12.002 Introduction to Geophysics and Planetary Science,"Study of the structure, composition, and physical processes governing the terrestrial planets, including their formation and basic orbital properties. Topics include plate tectonics, earthquakes, seismic waves, rheology, impact cratering, gravity and magnetic fields, heat flux, thermal structure, mantle convection, deep interiors, planetary magnetism, and core dynamics. Suitable for majors and non-majors seeking general background in geophysics and planetary structure. C. Cattania, G. Stucky de Quay Textbooks (Spring 2024)"
"12.003 Introduction to Atmosphere, Ocean, and Climate Dynamics","Introduces the dynamical processes that govern the atmosphere, oceans, and climate. Topics include Earth's radiation budget, convection and clouds, the circulation of the atmosphere and ocean, and climate change. Illustrates underlying mechanisms through laboratory demonstrations with a rotating table, and through analysis of atmospheric and oceanic data. T. Cronin, W. Kang"
12.004 Introduction to Biogeochemistry,"Introduction to the central roles of chemistry and biology on Earth that underlie modern climate, climate history, and global elemental cycles. Topics include the interactions of chemistry and biology in atmospheric, aquatic, and terrestrial systems. Fundamental principles of redox, equilibria, and acid/base reactions are explored via their links in the Earth system and with respect to climate feedbacks and ecosystem dynamics, providing perspectives for the future of our planet. Staff"
12.006[J] Nonlinear Dynamics: Chaos,"Introduction to nonlinear dynamics and chaos in dissipative systems. Forced and parametric oscillators. Phase space. Periodic, quasiperiodic, and aperiodic flows. Sensitivity to initial conditions and strange attractors. Lorenz attractor. Period doubling, intermittency, and quasiperiodicity. Scaling and universality. Analysis of experimental data: Fourier transforms, Poincare sections, fractal dimension, and Lyapunov exponents. Applications to mechanical systems, fluid dynamics, physics, geophysics, and chemistry. See 12.207J/18.354J for Nonlinear Dynamics: Continuum Systems. R. Rosales"
12.007 Geobiology: History of Life on Earth,"Surveys the interactive Earth system: biology in geologic, environmental and climate change throughout Earth's history. Introduces the concept of ""life as a geological agent"" and examines the interaction between biology and the Earth system during the roughly 4 billion years since life first appeared. Topics include the origin of the solar system and the early Earth atmosphere; the origin and evolution of life and its influence on climate up through and including the modern age and the problem of global warming; the global carbon cycle; and astrobiology. G. Fournier No textbook information available"
12.009[J] Nonlinear Dynamics: The Natural Environment,"Units: 3-0-9  Analyzes cooperative processes that shape the natural environment, now and in the geologic past. Emphasizes the development of theoretical models that relate the physical and biological worlds, the comparison of theory to observational data, and associated mathematical methods. Topics include carbon cycle dynamics; ecosystem structure, stability and complexity; mass extinctions; biosphere-geosphere coevolution; and climate change. Employs techniques such as stability analysis; scaling; null model construction; time series and network analysis. D. H. Rothman"
12.010 Computational Methods of Scientific Programming,"Introductory subject exposes students to modern programming methods and techniques used in practice by physical scientists today. Emphasis on code design, algorithm development/verification, and comparative advantages/disadvantages of different languages (including Python, Julia and C/C++) and tools (including Jupyter, machine-learning from data or models, cloud and high-performance computing workflows). Students are introduced to and work with common programming tools, types of problems, and techniques for solving a variety of data analytic and equation modeling scenarios from real research: examination visualization techniques; basic numerical analysis; methods of dissemination and verification; practices for reproducible work, version control, documentation, and sharing/publication. No prior programming experience is required. T. Herring, C. Hill"
12.011[J] Archaeological Science,"Lecture:  M EVE (7-10 PM) ( 6-120 ) s   Pressing issues in archaeology as an anthropological science. Stresses the natural science and engineering methods archaeologists use to address these issues. Reconstructing time, space, and human ecologies provides one focus; materials technologies that transform natural materials to material culture provide another. Topics include 14C dating, ice core and palynological analysis, GIS and other remote sensing techniques for site location, organic residue analysis, comparisons between Old World and New World bronze production, invention of rubber by Mesoamerican societies, analysis and conservation of Dead Sea Scrolls. J. Meanwell, M. Tarkanian No required or recommended textbooks"
"12.012 MatLab, Statistics, Regression, Signal Processing","Introduces the basic tools needed for data analysis and interpretation in the Geosciences, as well as other sciences. Composed of four modules, targeted at introducing students to the basic concepts and applications in each module. MatLab: Principles and practice in its uses, script and function modules, basic approaches to solving problems. Statistics: Correlation, means, dispersion, precision, accuracy, distributions, central limit theorem, skewness, probability, Chi-Square, Gaussian and other common distributions used in hypothesis testing. Regression: Random and grid search methods, basic least squares and algorithms applicable to regression, inversion and parameter estimation. Signal Processing: Analog and digital signals, Z-transform, Fourier series, fast Fourier transforms, spectral analysis leakage and bias, digital filtering. Students taking the graduate version complete different assignments. T. Herring, S. Ravela"
"12.021 Earth Science, Energy, and the Environment","Provides understanding of the Earth System most relevant to production of our planet's natural energy resources, including the physics, chemistry, and biology of conventional and alternative energy sources. Includes a broad overview of traditional and alternative energy sources: hydrocarbons (conventional and unconventional), nuclear, geothermal, hydroelectric, and wind and tides, along with their potentials and limitations. Develops detailed knowledge of the formation, concentration, and production of fossil and nuclear fuels, as well as the waste products associated with their consumption. An examination of conventional and alternative energy sources includes the environmental issues associated with the exploitation of these resources, both regional and global. B. Hager"
12.031[J] Fundamentals of Ecology,"Fundamentals of ecology, considering Earth as an integrated dynamic living system. Coevolution of the biosphere and geosphere, biogeochemical cycles, metabolic diversity, primary productivity, competition and the niche, trophic dynamics and food webs, population growth and limiting factors. Population modeling, global carbon cycle, climate change, geoengineering, theories of resource competition and mutualism, allometric scaling, ecological genomics, niche theory, human population growth. Applied ecology. D. Des Marais"
12.080 Experiential Learning in EAPS,"For Course 12 students participating in off-campus professional experiences related to their course of study. Before registering for this subject, students must have an offer from a company or organization, must identify an EAPS supervisor, and must receive prior approval from their advisor. Upon completion of the experience, student must submit a letter from the company or organization describing what the student accomplished, along with a substantive final report from the student approved by the EAPS supervisor. Consult departmental academic office. EAPS Faculty"
12.086 Modeling Environmental Complexity,"Introduction to mathematical and physical models of environmental processes. Emphasis on the development of macroscopic continuum or statistical descriptions of complex microscopic dynamics. Problems of interest include: random walks and statistical geometry of landscapes; percolation theory and transport in disordered media; fractals, scaling, and universality; ecological dynamics and the structure of ecosystems, food webs, and other natural networks; kinetics of biogeochemical cycles. Appropriate for advanced undergraduates. Beginning graduate students are encouraged to register for 12.586. Students taking the graduate version complete different assignments. D. H. Rothman"
"12.090 Current Topics in Earth, Atmospheric, and Planetary Sciences","Laboratory or field work in earth, atmospheric, and planetary sciences. Consult with department Education Office. Fall: G. Fournier Spring: D. Rothman"
"12.091 Current Topics in Earth, Atmospheric, and Planetary Sciences","Laboratory or field work in earth, atmospheric, and planetary sciences. Consult with department Education Office. C. Hill, L. Milechin, J. Mullen No textbook information available end   end"
12.092 Current Topics in Geology and Geochemistry,Laboratory or field work in geology and geochemistry. Consult with department Education Office. Staff
12.093 Current Topics in Geology and Geochemistry,Laboratory or field work in geology and geochemistry. To be arranged with department faculty. Consult with department Education Office. Staff  end   end
12.094 Current Topics in Geophysics,Laboratory or field work in geophysics. Consult with department Education Office. Staff
12.095 Current Topics in Geophysics,"Laboratory, data analysis, system modeling or field work in geophysics. To be arranged with department faculty. Consult with department Education Office. Staff  end   end   end   end   end   end"
12.096 Current Topics in Atmospheric Science and Oceanography,Laboratory or field work in atmospheric science and oceanography. To be arranged with department faculty. Consult with department Education Office. Staff
12.097 Current Topics in Atmospheric Science and Oceanography,Laboratory or field work in atmospheric science and oceanography. To be arranged with department faculty. Consult with department Education Office. Staff
12.098 Current Topics in Planetary Science,Laboratory or field work in planetary science. To be arranged with department faculty. Consult with department Education Office. Staff
12.099 Current Topics in Planetary Science,Laboratory or field work in planetary science. To be arranged with department faculty. Consult with department Education Office. Staff
12.C25[J] Real World Computation with Julia,"Focuses on algorithms and techniques for writing and using modern technical software in a job, lab, or research group environment that may consist of interdisciplinary teams, where performance may be critical, and where the software needs to be flexible and adaptable. Topics include automatic differentiation, matrix calculus, scientific machine learning, parallel and GPU computing, and performance optimization with introductory applications to climate science, economics, agent-based modeling, and other areas. Labs and projects focus on performant, readable, composable algorithms, and software. Programming will be in Julia. Expects students to have some familiarity with Python, Matlab, or R. No Julia experience necessary. A. Edelman, R. Ferrari, B. Forget, C. Leiseron,Y. Marzouk, J. Williams"
12.104 Geochemistry of Natural Waters,"Lecture:  TR9-10.30 ( 4-457 ) s   Equips students with the fundamental skills to identify major controls on the chemistry of waters on the Earth.  Students examine key concepts, theories and practical tools (e.g., pH, Eh, alkalinity, surface charge, speciation, and carbonate equilibrium) and apply them as tools to understand and make predictions for the biogeochemical cycles of the Earth systems.  Students taking graduate version complete additional assignments. S. Ono Textbooks (Spring 2024)"
12.108 Structure of Earth Materials,"Provides a comprehensive introduction to crystalline structure, crystal chemistry, and bonding in rock-forming minerals. Introduces the theory relating crystal structure and crystal symmetry to physical properties such as refractive index, elastic modulus, and seismic velocity. Surveys the distribution of silicate, oxide, and metallic minerals in the interiors and on the surfaces of planets, and discusses the processes that led to their formation. T. L. Grove"
12.109 Petrology,"Surveys the distribution, chemical composition, and mineral associations in rocks of the Earth's crust and upper mantle, and establishes its relation to tectonic environment. Emphasis is on the use of chemistry and physics to interpret rock forming processes. Topics include dynamics of crust and mantle melting as preserved in the chemical composition of igneous rocks and minerals, the long-term record of global climate change as preserved in the minerals of sedimentary rocks, and the time-temperature-depth record preserved in minerals of metamorphosed crustal rocks. EAPS Faculty No required or recommended textbooks"
12.11 Nature's Sandbox: A Record of Great Moments in Earth History,URL: IAP URL: https://eapsweb.mit.edu/classes/iap-classes   Designed for students curious about Earth Systems. Covers how sediments and the sedimentary rock record preserve information about events in Earth History and ancient climates and oceans. Serves as an introduction to the subjects 12.110A Sedimentary Environments and 12.110B Sedimentology in the Field. Staff
12.110A Sedimentary Environments,"Covers the basic concepts of sedimentation from the properties of individual grains to large-scale basin analysis. Lectures cover sediment textures and composition, fluid flow and sediment transport, and formation of sedimentary structures. Depositional models, for both modern and ancient environments are a major component and are studied in detail with an eye toward interpretation of depositional processes and reconstructing paleoenvironments from the rock record. Satisfies 6 units of Institute Laboratory credit. Students taking graduate version complete additional assignments. K. Bergmann"
12.110B Sedimentology in the Field,"Examines the fundamentals of sedimentary deposits and geological reasoning through first hand fieldwork. Students practice methods of modern geological field study off-campus during a required trip over spring break making field observations, measuring stratigraphic sections and making a sedimentological map. Relevant topics introduced are map and figure making in ArcGIS and Adobe Illustrator and sedimentary petrology. Culminates in an oral and written report built around data gathered in the field. Field sites and intervals of geologic time studied rotate annually and include Precambrian, Phanerozoic and Modern depositional environments. Satisfies 6 units of Institute Laboratory credit. May be taken multiple times for credit. Students taking graduate version complete additional assignments. K. Bergmann"
12.113 Structural Geology,"Introduces mechanics of rock deformation. Discusses recognition, interpretation, and mechanics of faults, folds, structural features of igneous and metamorphic rocks, and superposed deformations. Introduces regional structural geology and tectonics. Laboratory includes techniques of structural analysis, recognition and interpretation of structures on geologic maps, and construction of interpretive cross sections. M. Pec"
12.115 Field Geology,"Introduction to the methods of modern geological field study off-campus during an intensive two-week experience. Exercises include geological and geomorphological mapping on topographic and photographic base maps of a wide variety of bedrock and surficial rocks. Where feasible, geochemical and geophysical field measurements are corrrelated with geology. Location is usually in the western US. Contact department regarding travel fee and resources for funding opportunities. Meets with 12.482 when offered concurrently. Satisfies 9 units of Institute Laboratory credit. O. Jagoutz, K. Bergmann No textbook information available"
12.116 Analysis of Geologic Data,"Includes in-depth laboratory analysis of samples, interpretation of geological data, and where possible, geophysical and geochemical data.  Includes the preparation of reports based on the field studies conducted in 12.115 during January; report generally exceeds 30 pages in length and includes one major revision and rewrite. Instruction in writing techniques provided. Contact department regarding travel fee and resources for funding opportunities. Satisfies 3 units of Institute Laboratory credit. O. Jagoutz No textbook information available"
12.117A Field Geobiology I,"Units: 2-1-3  Examines basic biological processes that operate in sediments. Lectures cover biological, physical and chemical processes that influence the formation and stabilization of sediments, including biomineralization, weathering, erosion, the formation of sedimentary structures and interactions with sediments, flow, and the cycles of nutrients. Lab covers analytical methods used to examine microbial processes, bioinformatic methods used to analyze microbial communities, and techniques used to analyze sediment grain sizes and chemistry. Readings and discussions provide preparation for the 12.117B field trip to a modern sedimentary environment. Enables students to interpret processes in modern sedimentary environments, reconstruct similar processes in the rock record, collect appropriate samples in the field, and analyze microbiological data. Students taking graduate version complete additional assignments. T. Bosak"
12.117B Field Geobiology II,"Units: 2-2-5  Teaches fundamentals of field observations and reasoning in geobiology/sedimentology during a required trip to a modern sedimentary environment over spring break, followed by laboratory analyses of collected samples. Students make observations, develop hypotheses, collect samples required to test their hypotheses and interact with lecturers and students investigating the sedimentology of the site. Upon return to MIT, students work on field samples to characterize the sediments, use the preliminary data to develop an understanding of the field site, and write research reports. Students taking graduate version write proposals that present a research question based on the field observations and subsequent analyses. Meets with 12.110B and 12.465B when those subjects examine modern sedimentary environments. T. Bosak"
12.119 Harnessing Power from Environmental Microbes and Chemical Gradients,"Provides practical instruction on how to make living batteries. Lectures cover the basics of marine and freshwater chemistry and biogeochemistry (pH, redox potential, organic loading, free energy for growth, chemical profiles, sampling and measurement methods). Students explore sediment biogeochemistry by analyzing mineral types and grain sizes, setting up microbial enrichment cultures, and sampling and characterizing microbes and environmental chemistry by microscopy, chemical assays of pore fluids, and bioinformatics tools. Subsequent lab activities teach students to develop and use electrochemical tools to build microbial batteries that can power light sources and instruments. Discussion and reading cover real-world applications of microbial fuel cells. T. Bosak, E. Boyle, S. Ono"
"12.12 Nature's Sandbox: The History of Ancient Environments, Climate, and Life","Series of field adventures to survey Earth's history and landscape through a combination of online and in-person instruction, with virtual field trips to Svalbard, Norway, the Death Valley area and Northern Minnesota. In these key sites, students explore the interactions between Earth's surface environments and life, and critical transitions in each. Includes weekly in-class paper discussions and experiential exercises. Three optional one-day field trips provide opportunity to explore the amazing sedimentary record preserved close to MIT. Subject can count toward the 6-unit discovery-focused credit limit for first year students. K. Bergmann"
12.141 Electron Microprobe Analysis,"Introduction to the theory of x-ray microanalysis through the electron microprobe including ZAF matrix corrections. Techniques to be discussed are wavelength and energy dispersive spectrometry, scanning backscattered electron, secondary electron, cathodoluminescence, and x-ray imaging. Lab sessions involve use of the electron microprobe. Staff"
12.158 Molecular Biogeochemistry,"Units: 3-0-6 [P/D/F]  Covers all aspects of molecular biosignatures, such as their pathways of lipid biosynthesis, the distribution patterns of lipid biosynthetic pathways with regard to phylogeny and physiology, isotopic contents, occurrence in modern organisms and environments, diagenetic pathways, analytical techniques and the occurrence of molecular fossils through the geological record. Students analyze in depth the recent literature on chemical fossils. Lectures provide background on the subject matter. Basic knowledge of organic chemistry required. Students taking graduate version complete additional assignments. Staff"
12.163 Geomorphology,"Quantitative examination of processes that shape Earth's surface. Introduction to fluvial, hillslope, and glacial mechanics. Essentials of weathering, soil formation, runoff, erosion, slope stability, sediment transport, and river morphology. Landscape evolution in response to climatic and tectonic forcing. Application of terrestrial theory to planetary surfaces. Additional instruction in geographic information systems (GIS) and remote sensing analysis, field measurement techniques, and numerical modeling of surface processes. Students taking the graduate version complete different assignments. T. Perron"
12.170 Essentials of Geology,"Units: 4-0-8  Studies the geology of planetary interiors and surfaces, including plate tectonics, as a unifying theory of terrestrial geology, surface processes, and the Earth's interior. Covers igneous, metamorphic, and sedimentary processes associated with tectonic settings and the typical rock suites created; mineral and rock identification; and causes of compositional differences on many scales (mineral grains, rocks, regions of the Earth, different planets). Also addresses conditions required for melting and melting processes; rock structure and field techniques; and Earth history. Treatment of these topics includes discussions of the geochemical, petrologic, geochronological, experimental, or field techniques used to investigate them; the limitations of current geological techniques and geological controversies; and major geological expeditions, experiments, and studies from the past, along with their premises and results. Students taking graduate version complete additional assignments. Staff"
"12.177 Astrobiology, Origins and Early Evolution of Life","Provides an understanding of major areas of research into the problem of the origin of life on the early Earth from an astrobiological perspective. Topics include the timing, setting and conditions for the origin of life on the Hadean Earth; roles of planetary and extra-planetary processes; defining life; prebiotic chemistry; origins of nucleic acids and peptides; evolution of cellularity, replication, metabolism, and translation; establishment of the genetic code; biogenesis vs. ecogenesis; the nature of the last common ancestor of life; conceptualizing the ""tree of life;"" and the early evolution of the ancestors of bacteria, archaeal, and eukaryal lineages. Students taking graduate version complete an extra project. G. Fournier"
